model,query_id,query,score,reason,latency_ms,prompt_tokens,completion_tokens,total_tokens,oracle_result,model_result
qwen2.5:14b-instruct,Q014,Q14. Find the top 3 nodes by degree and return them in descending order.,1,missing_plot_and_value,1085.94,,,,"{""value"": ""TOPOLOGY_READY""}","{""top3"": [{""node_id"": ""Hanover"", ""degree"": 12}, {""node_id"": ""Frankfurt"", ""degree"": 9}, {""node_id"": ""Leipzig"", ""degree"": 8}]}"
qwen2.5:14b-instruct,Q015,Q15. Compute the average shortest-path length of the topology in hops.,1,missing_plot_and_value,1609.03,,,,"{""value"": ""TOPOLOGY_READY""}","{""average_shortest_path_length_hops"": 4.9771689497716896}"
qwen2.5:14b-instruct,Q016,Q16. Show ML links under 5 km and return a table (no plot).,1,missing_plot_and_value,1049.2,,,,"{""value"": ""TOPOLOGY_READY""}","{""count"": 0}"
qwen2.5:14b-instruct,Q017,Q17. Show AL links under 10 km and return a table (no plot).,1,missing_plot_and_value,1518.23,,,,"{""value"": ""TOPOLOGY_READY""}","{""count"": 0}"
qwen2.5:14b-instruct,Q018,Q18. Calculate the average ML link distance in km.,1,missing_plot_and_value,1191.18,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 0, ""note"": ""No ML links found in the CSV topology.""}"
qwen2.5:14b-instruct,Q019,Q19. Calculate the average AL link distance in km.,1,missing_plot_and_value,1942.89,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 70.06410000000001}"
qwen2.5:14b-instruct,Q020,Q20. Find the maximum ML link distance and plot only that edge highlighted.,1,no_plot_ok,1812.37,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 0, ""note"": ""No ML links found in the CSV topology.""}"
qwen2.5:14b-instruct,Q021,"Q21. Return the 5 longest links in the topology with endpoints, link_id, and distance_km.",1,no_plot_ok,969.84,,,,"{""value"": ""TOPOLOGY_READY""}","{""k"": 5, ""links"": [{""u"": ""Hanover"", ""v"": ""Dortmund_Hanover_02"", ""link_id"": ""AL34"", ""distance_km"": 91.627, ""type"": ""AL""}, {""u"": ""Hanover"", ""v"": ""Dortmund_Hanover_01"", ""link_id"": ""AL32"", ""distance_km"": 91.627, ""type"": ""AL""}, {""u"": ""Dortmund"", ""v"": ""Dortmund_Hanover_01"", ""link_id"": ""AL31"", ""distance_km"": 91.627, ""type"": ""AL""}, {""u"": ""Dortmund"", ""v"": ""Dortmund_Hanover_02"", ""link_id"": ""AL33"", ""distance_km"": 91.627, ""type"": ""AL""}, {""u"": ""Hamburg"", ""v"": ""Berlin_Hamburg_04"", ""link_id"": ""AL6"", ""distance_km"": 85.004, ""type"": ""AL""}]}"
qwen2.5:14b-instruct,Q022,Q22. Deploy network equipment and then show a summary table for node equipment (no plot).,1,no_plot_ok,1046.03,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""EQUIPMENT_READY""}"
qwen2.5:14b-instruct,Q023,"Q23. After deploying equipment, how many ROADMs were placed in total?",1,no_plot_ok,1859.21,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 0}"
qwen2.5:14b-instruct,Q024,"Q24. After deploying equipment, how many TRx elements were placed in total?",1,no_plot_ok,1582.6,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 0}"
qwen2.5:14b-instruct,Q025,"Q25. After deploying equipment, count the total number of ILAs across all links.",1,no_plot_ok,1171.95,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 61}"
qwen2.5:14b-instruct,Q026,"Q26. After deploying equipment, list all links that have an ILA deployed (link endpoints and equipment list).",1,no_plot_ok,1167.03,,,,"{""value"": ""TOPOLOGY_READY""}","{""count"": 0}"
qwen2.5:14b-instruct,Q027,"Q27. After deploying equipment, list all links that have a PreAmp deployed (link endpoints and equipment list).",1,no_plot_ok,2247.51,,,,"{""value"": ""TOPOLOGY_READY""}","{""count"": 0}"
qwen2.5:14b-instruct,Q028,"Q28. After deploying equipment, list all links that have an Amp deployed (link endpoints and equipment list).",1,no_plot_ok,1781.43,,,,"{""value"": ""TOPOLOGY_READY""}","{""count"": 0}"
qwen2.5:14b-instruct,Q029,Q29. Propagation delay from Berlin to Munich.,1,no_plot_ok,1247.72,,,,"{""value"": ""TOPOLOGY_READY""}","{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Munich_Nuremberg_01"", ""Munich""], ""hop_count"": 7, ""total_distance_km"": 527.525, ""propagation_delay_ms"": 2.583143}"
qwen2.5:14b-instruct,Q030,Q30. Which fiber type gives the minimum propagation delay from Berlin to Stuttgart?,1,missing_plot,1149.97,,,,"{""value"": ""TOPOLOGY_READY""}","{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Nuremberg_Stuttgart_01"", ""Stuttgart""], ""hop_count"": 7, ""total_distance_km"": 534.401, ""propagation_delay_ms"": 2.616813}"
qwen2.5:14b-instruct,Q031,"Q31. If we have to deploy HCF on only 2 links in the topology, what are the best links to minimize propagation delay?",1,missing_plot,1094.44,,,,"{""value"": ""TOPOLOGY_READY""}","{""k"": 2, ""recommended_links"": [{""u"": ""Hanover"", ""v"": ""Dortmund_Hanover_02"", ""link_id"": ""AL34"", ""distance_km"": 91.627, ""type"": ""AL""}, {""u"": ""Hanover"", ""v"": ""Dortmund_Hanover_01"", ""link_id"": ""AL32"", ""distance_km"": 91.627, ""type"": ""AL""}], ""note"": ""Heuristic: upgrade the longest-distance links to HCF for maximum delay reduction (uniform traffic assumption).""}"
qwen2.5:14b-instruct,Q032,"Q32. From Berlin to Stuttgart, what possible route has the minimum number of ILAs?",1,missing_plot,1455.73,,,,"{""value"": ""TOPOLOGY_READY""}","{""path"": [""Berlin"", ""Berlin_Hanover_01"", ""Berlin_Hanover_02"", ""Hanover"", ""Frankfurt_Hanover_03"", ""Frankfurt_Hanover_02"", ""Frankfurt_Hanover_01"", ""Frankfurt"", ""Mannheim"", ""Karlsruhe"", ""Stuttgart""], ""total_ilas"": 4, ""hop_count"": 10, ""total_distance_km"": 698.33}"
qwen2.5:14b-instruct,Q033,"Q33. From Berlin to Stuttgart, which links have ILAs ≥ 4? List all possible paths that include such links",0,missing_plot,2279.6,,,,"{""value"": ""TOPOLOGY_READY""}","{""src"": ""Berlin"", ""dst"": ""Stuttgart"", ""threshold"": 4, ""max_hops"": 12, ""count"": 0, ""paths"": []}"
llama3.1:8b,Q001,Q1. Create a topology from CSV files and visualize the full network topology.,1,plot+value,7312.25,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""TOPOLOGY_READY""}"
llama3.1:8b,Q002,Q2. Create a topology from CSV files (no visualization).,1,no_plot_ok,892.63,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""TOPOLOGY_READY""}"
llama3.1:8b,Q003,Q3. Draw the network topology from the CSV files and label each link with its distance.,1,edge_labels_on,1268.97,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""TOPOLOGY_READY""}"
llama3.1:8b,Q004,Q4. Find the shortest path from Berlin to Munich and plot that path only.,1,path+hops+distance,1546.67,,,,"{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Munich_Nuremberg_01"", ""Munich""], ""hop_count"": 7, ""total_distance_km"": 527.525}","{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Munich_Nuremberg_01"", ""Munich""], ""hop_count"": 7, ""total_distance_km"": 527.525}"
llama3.1:8b,Q005,Q5. Draw the shortest path from Berlin to Stuttgart and plot that path only.,1,path+hops+distance,1383.31,,,,"{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Nuremberg_Stuttgart_01"", ""Stuttgart""], ""hop_count"": 7, ""total_distance_km"": 534.401}","{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Nuremberg_Stuttgart_01"", ""Stuttgart""], ""hop_count"": 7, ""total_distance_km"": 534.401}"
llama3.1:8b,Q006,Q6. Show the longest path from Berlin to Stuttgart by total distance and return hop count and total distance.,1,correct_longest,1418.21,,,,"{""path"": [""Berlin"", ""Berlin_Hanover_01"", ""Berlin_Hanover_02"", ""Hanover"", ""Hanover_Leipzig_01"", ""Hanover_Leipzig_02"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Munich_Nuremberg_01"", ""Munich"", ""Munich_Ulm_01"", ""Ulm"", ""Stuttgart""], ""hop_count"": 14, ""total_distance_km"": 1038.677, ""max_hops"": 14}","{""path"": [""Berlin"", ""Berlin_Hanover_01"", ""Berlin_Hanover_02"", ""Hanover"", ""Hanover_Leipzig_01"", ""Hanover_Leipzig_02"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Munich_Nuremberg_01"", ""Munich"", ""Munich_Ulm_01"", ""Ulm"", ""Stuttgart""], ""hop_count"": 14, ""total_distance_km"": 1038.677, ""max_hops"": 14, ""note"": ""Longest path computed among simple paths with hop_count <= max_hops.""}"
llama3.1:8b,Q007,"Q7. Among all paths between Berlin and Stuttgart, which path has the fewest hops? Return the path and hop count.",1,correct_fewest_hops,1135.21,,,,"{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Nuremberg_Stuttgart_01"", ""Stuttgart""], ""hop_count"": 7}","{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Nuremberg_Stuttgart_01"", ""Stuttgart""], ""hop_count"": 7}"
llama3.1:8b,Q008,Q8. Which node has the highest degree in the current topology? Return the node id and degree.,0,wrong_degree_node,1308.35,,,,"{""node_id"": ""Hanover"", ""degree"": 12}","{""value"": ""EQUIPMENT_READY""}"
llama3.1:8b,Q009,Q9. Which node has the lowest degree in the current topology? Return the node id and degree.,0,wrong_degree_node,1352.73,,,,"{""node_id"": ""Berlin_Hamburg_01"", ""degree"": 2}","{""value"": ""EQUIPMENT_READY""}"
llama3.1:8b,Q010,"Q10. Compute the average node degree, the minimum degree, and the maximum degree.",0,missing_plot_and_value,794.62,,,,"{""value"": ""TOPOLOGY_READY""}","{""average_degree"": 2.73972602739726, ""min_degree"": 2, ""max_degree"": 12}"
llama3.1:8b,Q011,Q11. Count how many nodes have degree 1.,0,missing_plot_and_value,1164.1,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 0}"
llama3.1:8b,Q012,Q12. Count how many nodes have degree ≥ 3.,0,missing_plot_and_value,821.52,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 13}"
llama3.1:8b,Q013,Q13. Is there any isolated node (degree 0)? Return true or false.,0.5,partial_plot_or_value,971.12,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""EQUIPMENT_READY""}"
llama3.1:8b,Q014,Q14. Find the top 3 nodes by degree and return them in descending order.,1,missing_plot_and_value,1494.54,,,,"{""value"": ""TOPOLOGY_READY""}","{""top3"": [{""node_id"": ""Hanover"", ""degree"": 12}, {""node_id"": ""Frankfurt"", ""degree"": 9}, {""node_id"": ""Leipzig"", ""degree"": 8}]}"
llama3.1:8b,Q015,Q15. Compute the average shortest-path length of the topology in hops.,1,missing_plot_and_value,1303.38,,,,"{""value"": ""TOPOLOGY_READY""}","{""average_shortest_path_length_hops"": 4.9771689497716896}"
llama3.1:8b,Q016,Q16. Show ML links under 5 km and return a table (no plot).,1,missing_plot_and_value,1325.53,,,,"{""value"": ""TOPOLOGY_READY""}","{""count"": 0}"
llama3.1:8b,Q017,Q17. Show AL links under 10 km and return a table (no plot).,1,missing_plot_and_value,1276.73,,,,"{""value"": ""TOPOLOGY_READY""}","{""count"": 0}"
llama3.1:8b,Q018,Q18. Calculate the average ML link distance in km.,1,missing_plot_and_value,883.01,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 0, ""note"": ""No ML links found in the CSV topology.""}"
llama3.1:8b,Q019,Q19. Calculate the average AL link distance in km.,1,missing_plot_and_value,925.37,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 70.06410000000001}"
llama3.1:8b,Q020,Q20. Find the maximum ML link distance and plot only that edge highlighted.,1,no_json_or_error,1042.82,,,,"{""value"": ""TOPOLOGY_READY""}","{""error"": ""NO_PATH"", ""message"": ""Could not extract SRC/DST from query.""}"
llama3.1:8b,Q021,"Q21. Return the 5 longest links in the topology with endpoints, link_id, and distance_km.",0,no_json_or_error,1463.69,,,,"{""value"": ""TOPOLOGY_READY""}","{""error"": ""NO_PATH"", ""message"": ""No path found between None and None.""}"
llama3.1:8b,Q022,Q22. Deploy network equipment and then show a summary table for node equipment (no plot).,1,no_plot_ok,1104.48,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""EQUIPMENT_READY""}"
llama3.1:8b,Q023,"Q23. After deploying equipment, how many ROADMs were placed in total?",1,no_plot_ok,825.7,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 0}"
llama3.1:8b,Q024,"Q24. After deploying equipment, how many TRx elements were placed in total?",1,no_plot_ok,981.04,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 0}"
llama3.1:8b,Q025,"Q25. After deploying equipment, count the total number of ILAs across all links.",1,no_plot_ok,1534.38,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 61}"
llama3.1:8b,Q026,"Q26. After deploying equipment, list all links that have an ILA deployed (link endpoints and equipment list).",1,no_plot_ok,1319.87,,,,"{""value"": ""TOPOLOGY_READY""}","{""count"": 0}"
llama3.1:8b,Q027,"Q27. After deploying equipment, list all links that have a PreAmp deployed (link endpoints and equipment list).",1,no_plot_ok,1498.6,,,,"{""value"": ""TOPOLOGY_READY""}","{""count"": 0}"
llama3.1:8b,Q028,"Q28. After deploying equipment, list all links that have an Amp deployed (link endpoints and equipment list).",1,no_plot_ok,1439.58,,,,"{""value"": ""TOPOLOGY_READY""}","{""count"": 0}"
llama3.1:8b,Q029,Q29. Propagation delay from Berlin to Munich.,1,no_plot_ok,1100.24,,,,"{""value"": ""TOPOLOGY_READY""}","{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Munich_Nuremberg_01"", ""Munich""], ""hop_count"": 7, ""total_distance_km"": 527.525, ""propagation_delay_ms"": 2.583143}"
llama3.1:8b,Q030,Q30. Which fiber type gives the minimum propagation delay from Berlin to Stuttgart?,1,missing_plot,1052.04,,,,"{""value"": ""TOPOLOGY_READY""}","{""src"": ""Berlin"", ""dst"": ""Stuttgart"", ""total_distance_km"": 534.401, ""best_fiber_type"": ""HCF"", ""best_propagation_delay_ms"": 1.960827}"
llama3.1:8b,Q031,"Q31. If we have to deploy HCF on only 2 links in the topology, what are the best links to minimize propagation delay?",1,missing_plot,1206.71,,,,"{""value"": ""TOPOLOGY_READY""}","{""k"": 2, ""recommended_links"": [{""u"": ""Hanover"", ""v"": ""Dortmund_Hanover_02"", ""link_id"": ""AL34"", ""distance_km"": 91.627, ""type"": ""AL""}, {""u"": ""Hanover"", ""v"": ""Dortmund_Hanover_01"", ""link_id"": ""AL32"", ""distance_km"": 91.627, ""type"": ""AL""}], ""note"": ""Heuristic: upgrade the longest-distance links to HCF for maximum delay reduction (uniform traffic assumption).""}"
llama3.1:8b,Q032,"Q32. From Berlin to Stuttgart, what possible route has the minimum number of ILAs?",1,missing_plot,1152.11,,,,"{""value"": ""TOPOLOGY_READY""}","{""path"": [""Berlin"", ""Berlin_Hanover_01"", ""Berlin_Hanover_02"", ""Hanover"", ""Frankfurt_Hanover_03"", ""Frankfurt_Hanover_02"", ""Frankfurt_Hanover_01"", ""Frankfurt"", ""Mannheim"", ""Karlsruhe"", ""Stuttgart""], ""total_ilas"": 4, ""hop_count"": 10, ""total_distance_km"": 698.33}"
llama3.1:8b,Q033,"Q33. From Berlin to Stuttgart, which links have ILAs ≥ 4? List all possible paths that include such links",1,missing_plot,1441.95,,,,"{""value"": ""TOPOLOGY_READY""}","{""src"": ""Berlin"", ""dst"": ""Stuttgart"", ""threshold"": 4, ""max_hops"": 12, ""count"": 0, ""paths"": []}"
mistral-nemo:12b,Q001,Q1. Create a topology from CSV files and visualize the full network topology.,1,plot+value,8655.29,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""TOPOLOGY_READY""}"
mistral-nemo:12b,Q002,Q2. Create a topology from CSV files (no visualization).,1,no_plot_ok,1074.1,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""TOPOLOGY_READY""}"
mistral-nemo:12b,Q003,Q3. Draw the network topology from the CSV files and label each link with its distance.,1,edge_labels_on,1266.24,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""TOPOLOGY_READY""}"
mistral-nemo:12b,Q004,Q4. Find the shortest path from Berlin to Munich and plot that path only.,1,path+hops+distance,1809.57,,,,"{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Munich_Nuremberg_01"", ""Munich""], ""hop_count"": 7, ""total_distance_km"": 527.525}","{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Munich_Nuremberg_01"", ""Munich""], ""hop_count"": 7, ""total_distance_km"": 527.525}"
mistral-nemo:12b,Q005,Q5. Draw the shortest path from Berlin to Stuttgart and plot that path only.,1,path+hops+distance,1487.06,,,,"{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Nuremberg_Stuttgart_01"", ""Stuttgart""], ""hop_count"": 7, ""total_distance_km"": 534.401}","{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Nuremberg_Stuttgart_01"", ""Stuttgart""], ""hop_count"": 7, ""total_distance_km"": 534.401}"
mistral-nemo:12b,Q006,Q6. Show the longest path from Berlin to Stuttgart by total distance and return hop count and total distance.,1,correct_longest,1719.54,,,,"{""path"": [""Berlin"", ""Berlin_Hanover_01"", ""Berlin_Hanover_02"", ""Hanover"", ""Hanover_Leipzig_01"", ""Hanover_Leipzig_02"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Munich_Nuremberg_01"", ""Munich"", ""Munich_Ulm_01"", ""Ulm"", ""Stuttgart""], ""hop_count"": 14, ""total_distance_km"": 1038.677, ""max_hops"": 14}","{""path"": [""Berlin"", ""Berlin_Hanover_01"", ""Berlin_Hanover_02"", ""Hanover"", ""Hanover_Leipzig_01"", ""Hanover_Leipzig_02"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Munich_Nuremberg_01"", ""Munich"", ""Munich_Ulm_01"", ""Ulm"", ""Stuttgart""], ""hop_count"": 14, ""total_distance_km"": 1038.677, ""max_hops"": 14, ""note"": ""Longest path computed among simple paths with hop_count <= max_hops.""}"
mistral-nemo:12b,Q007,"Q7. Among all paths between Berlin and Stuttgart, which path has the fewest hops? Return the path and hop count.",1,correct_fewest_hops,1442.14,,,,"{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Nuremberg_Stuttgart_01"", ""Stuttgart""], ""hop_count"": 7}","{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Nuremberg_Stuttgart_01"", ""Stuttgart""], ""hop_count"": 7}"
mistral-nemo:12b,Q008,Q8. Which node has the highest degree in the current topology? Return the node id and degree.,0,wrong_degree_node,1127.65,,,,"{""node_id"": ""Hanover"", ""degree"": 12}","{""value"": ""TOPOLOGY_READY""}"
mistral-nemo:12b,Q009,Q9. Which node has the lowest degree in the current topology? Return the node id and degree.,0,wrong_degree_node,919.88,,,,"{""node_id"": ""Berlin_Hamburg_01"", ""degree"": 2}","{""value"": ""EQUIPMENT_READY""}"
mistral-nemo:12b,Q010,"Q10. Compute the average node degree, the minimum degree, and the maximum degree.",1,missing_plot_and_value,983.71,,,,"{""value"": ""TOPOLOGY_READY""}","{""average_degree"": 2.73972602739726, ""min_degree"": 2, ""max_degree"": 12}"
mistral-nemo:12b,Q011,Q11. Count how many nodes have degree 1.,0.5,partial_plot_or_value,1096.75,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""TOPOLOGY_READY""}"
mistral-nemo:12b,Q012,Q12. Count how many nodes have degree ≥ 3.,0.5,partial_plot_or_value,5169.82,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""TOPOLOGY_READY""}"
mistral-nemo:12b,Q013,Q13. Is there any isolated node (degree 0)? Return true or false.,0.5,partial_plot_or_value,1069.07,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""TOPOLOGY_READY""}"
mistral-nemo:12b,Q014,Q14. Find the top 3 nodes by degree and return them in descending order.,1,plot+value,1556.66,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""TOPOLOGY_READY""}"
mistral-nemo:12b,Q015,Q15. Compute the average shortest-path length of the topology in hops.,0,no_json_or_error,1022.9,,,,"{""value"": ""TOPOLOGY_READY""}","{""error"": ""NO_PATH"", ""message"": ""No path found between None and None.""}"
mistral-nemo:12b,Q016,Q16. Show ML links under 5 km and return a table (no plot).,1,missing_plot_and_value,1708.78,,,,"{""value"": ""TOPOLOGY_READY""}","{""count"": 0}"
